product_key,trans_dt,store_location_key,sales,units,trans_id
1.00E+15,10/28/15,6973,,1,3.16E+25
77105810883,7/24/15,6973,,1,3.12E+25
30041060552,12/14/15,6973,,1,3.18E+25
1.00E+15,4/10/15,6973,,1,3.08E+25
1.00E+15,10/14/15,6973,,1,3.15E+24
1.00E+15,7/30/15,6973,,1,3.12E+24
77105880035,5/20/15,6973,,1,3.09E+25
1.00E+15,12/11/15,6973,,1,3.18E+25
62455802158,1/8/16,6973,,1,3.18E+25
1.00E+15,5/22/15,6973,,2,3.09E+24
1.00E+15,11/5/15,6973,,1,3.16E+25
6490040955,11/6/15,6973,,1,3.16E+25
6700000928,9/30/15,6973,,1,3.15E+25
1.00E+15,11/13/15,6973,,1,3.16E+25
1.00E+15,11/13/15,6973,,1,2.08E+24
6202000541,12/21/15,6973,,1,3.18E+24
1.00E+15,12/14/15,6973,,1,3.18E+25
7940009051,1/30/16,7167,,1,6.12E+22
1.00E+15,1/27/16,7167,,1,2.46E+22
5980000060,12/29/15,6973,,1,3.18E+25
1.00E+15,7/29/15,6973,,1,3.12E+25
1.00E+15,7/30/15,6973,,2,3.12E+25
1.00E+15,1/26/16,7167,,1,1.52E+22
1.00E+15,5/1/15,6973,,1,3.09E+25
1.00E+15,10/19/15,6973,,1,3.15E+25
1.00E+15,10/21/15,6973,,1,3.15E+25
1.00E+15,11/13/15,6973,,1,2.08E+24
1.00E+15,12/18/15,6973,,1,3.18E+25
1.00E+15,1/25/16,6973,,1,3.19E+25
1.00E+15,9/3/15,6973,,1,3.14E+25
1.00E+15,1/11/16,6973,,1,3.19E+25
77105810211,10/30/15,6973,,1,3.16E+25
1.00E+15,1/7/16,6973,,1,3.18E+25
6700000829,12/23/15,6973,,1,3.18E+25
1.00E+15,12/9/15,6973,,1,2.09E+23
1.00E+15,10/16/15,6973,,1,3.15E+25
1.00E+15,9/4/15,6973,,1,3.14E+25
1.00E+15,7/3/15,6973,,1,3.11E+24
1.00E+15,1/28/16,7167,,1,3.87E+22
1.00E+15,9/29/15,6973,,1,3.15E+25
1.00E+15,11/10/15,6973,,1,3.16E+25
77105880035,10/1/15,6973,,1,3.15E+25
77105810099,5/20/15,6973,,1,3.09E+25
1.00E+15,1/25/16,7167,,1,9.57E+21
1.00E+15,5/26/15,6973,,1,3.10E+25
1.00E+15,12/8/15,6973,,1,3.17E+25
1.00E+15,10/2/15,6973,,1,3.15E+25
5770021599,6/18/15,6973,,1,3.11E+25
5770032944,8/31/15,6973,,1,3.13E+25
1.00E+15,11/26/15,6973,,1,3.17E+24
1.00E+15,7/14/15,6973,,2,3.12E+25
6700000829,10/16/15,6973,,1,3.15E+25
1.00E+15,10/9/15,6973,,1,3.15E+25
1.00E+15,1/12/16,6973,,1,3.19E+25
6700000829,4/30/15,6973,,1,3.09E+25
1.00E+15,11/2/15,6973,,1,3.16E+25
1.00E+15,12/10/15,6973,,1,3.17E+25
77105810640,12/8/15,6973,,1,3.17E+25
1.00E+15,6/30/15,6973,,1,3.11E+25
1.00E+15,11/23/15,6973,,1,3.17E+25
1.00E+15,10/28/15,6973,,1,3.16E+25
6210700610,12/31/15,6973,,1,3.18E+25
1.00E+15,1/19/16,6973,,1,3.19E+25
1.00E+15,9/8/15,6973,,1,3.14E+25
1.00E+15,6/12/15,6973,,1,2.02E+24
6625906411,10/22/15,6973,,1,3.16E+25
1.00E+15,12/10/15,6973,,1,3.17E+25
6260096075,11/25/15,6973,,1,3.17E+25
1.00E+15,10/7/15,6973,,1,3.15E+24
77105810493,1/12/16,6973,,1,3.19E+25
1.00E+15,7/10/15,6973,,1,2.03E+24
5770021599,9/11/15,6973,,1,3.14E+25
1.00E+15,4/10/15,6973,,1,3.08E+25
1.00E+15,4/6/15,6973,,1,3.07E+25
1.00E+15,12/21/15,6973,,1,3.18E+25
6410085252,6/1/15,6973,,1,3.10E+25
1.00E+15,8/20/15,6973,,1,3.13E+25
1.00E+15,4/7/15,6973,,1,3.07E+24
1.00E+15,9/14/15,6973,,1,3.14E+25
1.00E+15,10/15/15,6973,,1,2.07E+24
1.00E+15,12/11/15,6973,,1,3.17E+24
1.00E+15,9/22/15,6973,,1,2.06E+23
77105810425,11/10/15,6973,,1,3.16E+25
1.00E+15,10/27/15,6973,,1,3.16E+25
77105880035,4/20/15,6973,,1,3.08E+25
77105810397,8/4/15,6973,,1,3.13E+25
5770033148,12/2/15,6973,,1,3.17E+25
77105810228,11/12/15,6973,,1,3.16E+25
6210000241,11/11/15,6973,,1,3.16E+25
1.00E+15,12/10/15,6973,,1,3.17E+25
1.00E+15,9/15/15,6973,,1,3.14E+24
62527303214,7/8/15,6973,,1,3.12E+25
6210700426,10/9/15,6973,,1,3.15E+25
1.00E+15,10/9/15,6973,,1,3.15E+25
1.00E+15,8/7/15,6973,,1,2.04E+24
5113165300,4/17/15,6973,,1,3.08E+25
1.00E+15,10/5/15,6973,,1,3.15E+25
1.00E+15,5/13/15,6973,,1,2.02E+24
1.00E+15,10/16/15,6973,,1,3.15E+25
77105810408,12/17/15,6973,,1,3.18E+25
1.00E+15,12/15/15,6973,,1,3.18E+25
1.00E+15,1/4/16,6973,,1,3.18E+25
1.00E+15,11/24/15,6973,,1,3.17E+25
1.00E+15,1/27/16,7167,,1,2.22E+22
4203710319,10/19/15,6973,,1,3.15E+25
