trans_dt,store_location_key,product_key,sales,units,trans_key
10/28/15,6973,1E+15,0,1,3.15756E+25
7/24/15,6973,77105810883,8.53,1,3.1217E+25
12/14/15,6973,30041060552,11.55,1,3.17556E+25
4/10/15,6973,1E+15,0,1,3.07632E+25
10/14/15,6973,1E+15,0,1,3.15205E+24
7/30/15,6973,1E+15,0,1,3.12401E+24
5/20/15,6973,77105880035,1.58,1,3.09313E+25
12/11/15,6973,1E+15,8.88,1,3.17531E+25
1/8/16,6973,62455802158,32.02,1,3.18461E+25
5/22/15,6973,1E+15,73.96,2,3.09449E+24
11/5/15,6973,1E+15,0,1,3.16129E+25
11/6/15,6973,6490040955,3.54,1,3.16187E+25
9/30/15,6973,6700000928,2.12,1,3.14677E+25
11/13/15,6973,1E+15,0,1,3.16456E+25
11/13/15,6973,1E+15,184.11,1,2.07837E+24
12/21/15,6973,6202000541,3.54,1,3.17835E+24
12/14/15,6973,1E+15,0,1,3.17553E+25
1/30/16,7167,7940009051,5.86,1,6.11717E+22
1/27/16,7167,1E+15,38.82,1,2.45717E+22
12/29/15,6973,5980000060,3.36,1,3.18129E+25
7/29/15,6973,1E+15,7.12,1,3.12352E+25
7/30/15,6973,1E+15,22.75,2,3.12436E+25
1/26/16,7167,1E+15,26.74,1,1.51717E+22
5/1/15,6973,1E+15,0,1,3.08576E+25
10/19/15,6973,1E+15,0,1,3.1538E+25
10/21/15,6973,1E+15,11.64,1,3.15476E+25
11/13/15,6973,1E+15,14.63,1,2.07927E+24
12/18/15,6973,1E+15,7.32,1,3.17794E+25
1/25/16,6973,1E+15,0,1,3.19142E+25
9/3/15,6973,1E+15,1.78,1,3.13667E+25
1/11/16,6973,1E+15,53.92,1,3.18546E+25
10/30/15,6973,77105810211,11.55,1,3.15849E+25
1/7/16,6973,1E+15,29.46,1,3.18421E+25
12/23/15,6973,6700000829,2.3,1,3.1803E+25
12/9/15,6973,1E+15,58.53,1,2.08787E+23
10/16/15,6973,1E+15,1.78,1,3.1532E+25
9/4/15,6973,1E+15,8.88,1,3.13693E+25
7/3/15,6973,1E+15,0,1,3.11309E+24
1/28/16,7167,1E+15,41.81,1,3.86717E+22
9/29/15,6973,1E+15,2.17,1,3.14651E+25
11/10/15,6973,1E+15,0.62,1,3.16309E+25
10/1/15,6973,77105880035,1.58,1,3.14752E+25
5/20/15,6973,77105810099,20.45,1,3.09313E+25
1/25/16,7167,1E+15,104.11,1,9.57167E+21
5/26/15,6973,1E+15,1.78,1,3.09584E+25
12/8/15,6973,1E+15,0,1,3.17337E+25
10/2/15,6973,1E+15,0,1,3.14788E+25
6/18/15,6973,5770021599,3.01,1,3.10675E+25
8/31/15,6973,5770032944,3.19,1,3.13494E+25
11/26/15,6973,1E+15,0,1,3.16904E+24
7/14/15,6973,1E+15,0,2,3.11769E+25
10/16/15,6973,6700000829,2.3,1,3.15357E+25
10/9/15,6973,1E+15,0,1,3.15099E+25
1/12/16,6973,1E+15,0,1,3.18593E+25
4/30/15,6973,6700000829,2.12,1,3.08507E+25
11/2/15,6973,1E+15,0,1,3.15927E+25
12/10/15,6973,1E+15,7.71,1,3.17484E+25
12/8/15,6973,77105810640,12.44,1,3.17358E+25
6/30/15,6973,1E+15,1.78,1,3.11226E+25
11/23/15,6973,1E+15,0,1,3.1676E+25
10/28/15,6973,1E+15,0,1,3.15764E+25
12/31/15,6973,6210700610,19.56,1,3.18182E+25
1/19/16,6973,1E+15,0,1,3.18848E+25
9/8/15,6973,1E+15,0,1,3.13791E+25
6/12/15,6973,1E+15,84.55,1,2.02127E+24
10/22/15,6973,6625906411,4.43,1,3.15533E+25
12/10/15,6973,1E+15,7.32,1,3.17439E+25
11/25/15,6973,6260096075,21.34,1,3.16872E+25
10/7/15,6973,1E+15,0,1,3.14966E+24
1/12/16,6973,77105810493,8.53,1,3.18586E+25
7/10/15,6973,1E+15,18.32,1,2.03137E+24
9/11/15,6973,5770021599,3.01,1,3.1398E+25
4/10/15,6973,1E+15,0,1,3.07638E+25
4/6/15,6973,1E+15,1.78,1,3.07368E+25
12/21/15,6973,1E+15,7.32,1,3.17851E+25
6/1/15,6973,6410085252,6.75,1,3.09812E+25
8/20/15,6973,1E+15,0,1,3.13173E+25
4/7/15,6973,1E+15,0,1,3.07399E+24
9/14/15,6973,1E+15,0,1,3.14035E+25
10/15/15,6973,1E+15,155.2,1,2.06667E+24
12/11/15,6973,1E+15,1.64,1,3.17497E+24
9/22/15,6973,1E+15,15.72,1,2.06057E+23
11/10/15,6973,77105810425,9.42,1,3.16278E+25
10/27/15,6973,1E+15,7.32,1,3.15718E+25
4/20/15,6973,77105880035,1.58,1,3.07977E+25
8/4/15,6973,77105810397,37.36,1,3.12529E+25
12/2/15,6973,5770033148,3.19,1,3.17143E+25
11/12/15,6973,77105810228,23.12,1,3.16398E+25
11/11/15,6973,6210000241,2.3,1,3.16324E+25
12/10/15,6973,1E+15,0,1,3.17486E+25
9/15/15,6973,1E+15,10.66,1,3.14087E+24
7/8/15,6973,62527303214,37.36,1,3.11505E+25
10/9/15,6973,6210700426,48.04,1,3.15112E+25
10/9/15,6973,1E+15,14.22,1,3.15128E+25
8/7/15,6973,1E+15,51.21,1,2.04357E+24
4/17/15,6973,5113165300,12.09,1,3.07929E+25
10/5/15,6973,1E+15,1.78,1,3.14872E+25
5/13/15,6973,1E+15,42.1,1,2.01837E+24
10/16/15,6973,1E+15,88.98,1,3.15342E+25
12/17/15,6973,77105810408,22.23,1,3.17751E+25
12/15/15,6973,1E+15,0,1,3.17657E+25
1/4/16,6973,1E+15,7.32,1,3.18241E+25
11/24/15,6973,1E+15,0,1,3.16818E+25
1/27/16,7167,1E+15,9.35,1,2.21717E+22
10/19/15,6973,4203710319,33.8,1,3.15377E+25
7/6/15,6973,1E+15,25.51,5,3.11381E+25
12/22/15,6973,1E+15,2.17,1,3.17964E+25
9/30/15,6973,1E+15,11.55,1,3.14672E+25
9/8/15,6973,1E+15,0,1,3.13715E+24
11/5/15,6973,1E+15,0,1,3.16102E+25
10/9/15,6973,1E+15,0,1,3.15107E+25
10/5/15,6973,1E+15,18.87,1,3.14862E+25
10/29/15,6973,6410085266,2.47,1,3.158E+25
4/7/15,6973,6968216200,8.63,1,3.07444E+25
4/2/15,6973,1E+15,35.58,1,3.07315E+25
5/19/15,6973,1E+15,7.32,1,3.09236E+25
9/18/15,6973,1E+15,0,1,3.14245E+25
11/25/15,6973,1E+15,7.32,1,3.16858E+25
1/28/16,7167,1E+15,10.02,1,3.70717E+22
7/8/15,6973,1E+15,92.49,2,3.11534E+25
1/29/16,7167,1E+15,98.7,1,5.72717E+22
12/3/15,6973,7339000011,3.01,1,3.17226E+25
5/21/15,6973,6210000240,2.12,1,3.09428E+25
8/14/15,6973,6625906411,3.72,1,3.12937E+25
11/11/15,6973,1E+15,0,1,3.16358E+25
10/26/15,6973,5770022296,6.37,2,3.15627E+24
1/11/16,6973,1E+15,1.78,1,3.18512E+25
7/9/15,6973,1E+15,0,2,3.11576E+25
1/5/16,6973,1E+15,7.32,1,3.18262E+24
6/1/15,6973,1E+15,1.78,1,3.0985E+25
9/14/15,6973,1E+15,0,1,3.14046E+25
8/26/15,6973,5639405695,22.23,1,3.13376E+25
12/4/15,6973,1E+15,0,1,3.17262E+25
3/31/15,6973,1E+15,0,1,3.07138E+25
4/21/15,6973,1E+15,237.67,1,2.00977E+24
10/28/15,6973,1E+15,1.09,1,3.15759E+25
8/7/15,6973,1E+15,178.36,1,2.04187E+24
12/23/15,6973,5847810306,24.9,1,3.18016E+24
9/25/15,6973,6490007069,1.76,1,3.14551E+25
10/1/15,6973,5849635277,3.19,1,3.14756E+25
10/6/15,6973,1E+15,0,1,3.14906E+25
11/5/15,6973,77105804101,32.02,1,3.16096E+25
11/24/15,6973,1E+15,0,1,3.16779E+24
4/6/15,6973,77105880036,6.21,1,3.07369E+25
12/28/15,6973,1E+15,8.88,1,3.18077E+25
4/29/15,6973,1E+15,13.58,1,3.08469E+25
1/20/16,6973,3660230032,9.77,1,3.18921E+25
7/9/15,6973,87279800078,34.34,1,3.11573E+25
4/2/15,6973,1E+15,3.56,2,3.07306E+25
5/25/15,6973,6490040955,3.54,1,3.09566E+25
