product_key,trans_dt,store_location_key,sales,units,trans_id
4319416816,6/26/15,8142,9.42,1,1.69455E+25
6210700491,10/25/15,8142,24.9,1,3.40018E+25
5873832611,9/18/15,8142,12.09,1,1.72748E+25
77105810243,9/14/15,8142,20.45,1,4.14528E+24
5610007708,4/18/15,8142,10.31,1,2.64158E+25
78616265005,7/3/15,8142,5.32,1,1.69719E+26
4740007371,12/11/15,8142,42.7,1,1.76703E+26
6454130695,5/6/15,8142,46.26,1,2.72608E+25
77105810774,4/1/15,8142,17.78,1,3.28718E+24
18021700046,1/2/16,8142,64.06,1,3.68318E+25
1E+15,9/26/15,8142,0,1,1.73203E+26
77105880125,9/3/15,8142,1.76,1,3.18028E+23
66573000613,7/22/15,8142,3.49,1,1.70423E+25
1E+15,10/28/15,8142,0,1,4.36608E+24
1E+15,9/26/15,8142,0,1,3.28758E+25
85122800007,6/24/15,8142,37.36,1,2.92418E+25
77105840212,4/14/15,8142,15.27,2,1.67213E+25
1E+15,12/4/15,8142,0,1,1.76354E+26
1E+15,6/26/15,8142,0,1,3.75418E+24
1E+15,10/2/15,8142,0,1,4.23408E+24
8390000626,11/12/15,8142,5.14,1,4.44558E+24
77105810778,4/2/15,8142,14.22,1,1.669E+26
1E+15,12/4/15,8142,0,1,3.55698E+24
1E+15,8/8/15,8142,0,1,3.08958E+25
1E+15,5/7/15,8142,47.33,1,3.48768E+24
1E+15,8/29/15,8142,0,1,3.15438E+24
6132834208,11/16/15,8142,14.22,1,3.48318E+25
1E+15,12/1/15,8142,5.34,1,3.54808E+24
1E+15,5/8/15,8142,0,1,2.73378E+25
1E+15,10/10/15,8142,0,1,4.27318E+24
80490600502,4/23/15,8142,8.9,1,1.67394E+26
1E+15,7/2/15,8142,1.07,1,3.78338E+24
36519734430,11/21/15,8142,35.58,1,1.75698E+26
77141200005,5/1/15,8142,3.38,1,2.70218E+25
77105810491,10/9/15,8142,7.1,1,1.73814E+26
1E+15,7/28/15,8142,161.78,1,3.91328E+24
1E+15,11/4/15,8142,7.32,1,4.40188E+24
1E+15,11/15/15,8142,0,1,4.45438E+24
5532503655,5/5/15,8142,26.68,1,2.71818E+25
77105880035,10/2/15,8142,1.58,1,3.31528E+24
