trans_dt,store_location_key,product_key,sales,units,trans_id
9/9/15,9807,83215400105,42.72,1,1.9816E+23
10/28/15,9807,6024538816,27.57,1,2.1719E+24
6/18/15,1396,1E+15,62.44,1,6.08186E+25
12/9/15,9604,1E+15,0,1,6.7288E+23
12/4/15,9604,1E+15,0,1,6.7116E+23
10/31/15,1396,1E+15,7.32,1,6.2208E+25
8/11/15,1396,1E+15,64.51,1,6.13628E+25
11/26/15,9604,1E+15,0,1,6.6761E+24
9/15/15,4823,1E+15,20.72,1,3.49515E+24
11/27/15,9604,1E+15,0,1,6.6816E+24
1/18/16,1396,5849682960,3.19,1,6.29825E+25
8/8/15,1396,6210000000,4.97,1,6.13365E+25
1/4/16,9604,1E+15,0,1,6.8176E+24
10/22/15,1396,6700000491,6.21,1,6.21257E+25
6/15/15,4823,1E+15,62.05,2,3.11035E+24
10/26/15,1396,1E+15,51.03,1,6.21559E+25
10/9/15,1396,1E+15,0,1,6.2E+25
12/17/15,9604,1E+15,0,1,6.7593E+23
11/24/15,9604,1E+15,8.9,1,6.6666E+24
12/22/15,9604,1E+15,0,1,6.7793E+24
8/2/15,1396,6800001229,3.19,1,6.12685E+25
8/16/15,9604,1E+15,8.9,1,6.3649E+24
4/9/15,1396,1E+15,61.69,1,6.0063E+25
11/3/15,9807,5760618055,4.43,1,2.1925E+24
12/10/15,9604,1E+15,0,1,6.7361E+24
12/23/15,1396,1E+15,68.99,1,6.27525E+25
5/6/15,4823,1E+15,10.25,1,2.93595E+24
7/25/15,1396,1E+15,0,1,6.11934E+25
8/28/15,1396,1E+15,0,1,6.15533E+25
8/21/15,1396,1E+15,7.55,1,6.14811E+25
8/17/15,4823,1E+15,28.91,1,3.37465E+24
3/31/15,1396,1E+15,45.75,1,5.99582E+25
4/28/15,9604,1E+15,8.9,1,6.165E+24
4/9/15,1396,1E+15,0,1,6.00491E+24
6/24/15,1396,7339000011,3.01,1,6.0876E+25
5/24/15,1396,77105880051,2.47,1,6.05492E+25
12/10/15,9604,1E+15,0,1,6.7328E+24
10/23/15,1396,1E+15,0,1,6.21326E+25
12/22/15,9604,1E+15,0,1,6.7798E+24
11/30/15,9604,1E+15,0,1,6.6878E+23
9/10/15,4823,1E+15,0,1,3.47945E+24
6/7/15,1396,1E+15,0,1,6.07004E+25
10/9/15,1396,1E+15,155.52,1,6.1996E+25
8/13/15,1396,1E+15,7.01,1,6.13901E+25
5/29/15,1396,6009326570,19.56,1,6.06099E+25
3/31/15,4823,1E+15,0,1,2.77255E+24
5/6/15,1396,77105880125,1.76,1,6.03644E+25
1/16/16,1396,1E+15,0,1,6.29675E+25
8/20/15,9807,1E+15,7.65,1,1.9149E+24
11/11/15,9604,1E+15,0,1,6.6046E+23
9/23/15,4823,77105880061,6.21,1,3.53025E+24
10/27/15,4823,1E+15,0,1,3.67265E+24
6/5/15,1396,1E+15,0,1,6.06866E+25
4/5/15,1396,1E+15,0,1,6.00042E+25
10/15/15,1396,1E+15,1.78,1,6.2047E+25
12/29/15,9604,1E+15,8.9,1,6.7961E+23
8/21/15,9807,1E+15,0,1,1.918E+24
9/17/15,4823,1E+15,61.8,1,3.50655E+24
12/19/15,9604,1E+15,13.76,1,6.7675E+24
11/10/15,9604,1E+15,0,1,6.5969E+24
4/29/15,1396,5849632873,3.19,1,6.02854E+25
8/20/15,4823,1E+15,28.87,1,3.39425E+24
1/22/16,1396,77105860148,5.32,1,6.30341E+25
5/4/15,1396,77105810242,13.87,1,6.0324E+24
12/11/15,9604,1E+15,0,1,6.7388E+23
12/22/15,9604,1E+15,0,1,6.7757E+23
11/27/15,9604,1E+15,0,1,6.6806E+23
12/21/15,1396,6210000000,5.32,1,6.27262E+25
12/27/15,9604,1E+15,0,1,6.7903E+23
10/30/15,9807,1E+15,6.8,1,2.1796E+23
10/27/15,9604,1E+15,0,1,6.5351E+23
8/14/15,1396,1E+15,148.72,1,6.14018E+25
4/2/15,1396,1E+15,0,2,5.99895E+25
5/28/15,1396,6700000174,3.54,1,6.06039E+25
12/11/15,1396,6490040956,3.54,1,6.26273E+25
8/27/15,4823,1E+15,0,1,3.42285E+24
9/25/15,1396,1E+15,0,1,6.18435E+25
9/15/15,1396,77105880045,2.65,1,6.17272E+25
11/10/15,9604,1E+15,0,1,6.5991E+24
3/31/15,1396,77105880035,1.58,1,5.9953E+25
7/16/15,1396,1E+15,36.15,1,6.11023E+25
9/16/15,9807,5559943715,23.12,1,2.0077E+24
7/18/15,1396,1E+15,7.32,1,6.11208E+25
4/17/15,1396,6210000134,4.61,1,6.0154E+25
10/15/15,9807,1E+15,36.99,1,2.1201E+24
1/4/16,9604,1E+15,0,1,6.8176E+24
6/23/15,9807,5621998229,51.6,1,1.717E+24
11/20/15,9604,1E+15,0,1,6.6536E+24
8/14/15,4823,1E+15,9.79,1,3.37095E+24
8/9/15,1396,1E+15,140.64,1,6.13384E+25
4/28/15,1396,77105880037,2.3,1,6.02625E+25
7/17/15,1396,1E+15,91.44,1,6.11173E+25
12/22/15,9604,1E+15,0,1,6.7793E+24
10/7/15,1396,77141200003,4.24,1,6.19667E+25
12/31/15,1396,6890000013,2.3,1,6.28155E+25
10/19/15,9604,1E+15,0,1,6.505E+23
1/4/16,9807,83215400001,158.42,1,2.3961E+24
4/21/15,9807,5621932410,30.24,1,1.4962E+24
12/10/15,9604,1E+15,0,1,6.7361E+24
9/2/15,4823,5490000029,1.76,1,3.44825E+24
8/27/15,9807,1E+15,44.8,1,1.9408E+24
10/22/15,9604,1E+15,0,1,6.518E+23
10/15/15,4823,1E+15,5.8,1,3.61795E+23
11/24/15,1396,1E+15,217.62,1,6.24493E+25
1/18/16,4823,1E+15,58.53,1,3.99905E+24
12/7/15,9807,1E+15,3.56,1,2.3118E+23
12/11/15,9604,1E+15,0,1,6.7388E+23
8/31/15,4823,1E+15,30.67,1,3.43745E+24
